Year,Day,Sup,Mich,Huron,Erie,Ont,St_Clr,GL_Total,Index
2023,329,0.06,0,0.03,0,0,0,0.03,1
2023,330,0.19,0,0.03,0,0,0,0.07,2
2023,331,0.11,0,0.02,0,0,0,0.05,3
2023,332,0.31,0,0.02,0,0,0,0.12,4
2023,333,0.41,0.19,0.03,0,0,0.07,0.2,5
2023,334,0.39,0.19,0.48,0.01,0.01,0.07,0.3,6
2023,335,0.7,0.19,0.29,0.01,0.01,0.31,0.37,7
2023,336,0.7,0.11,0.29,0,0,0.17,0.35,8
2023,337,0.69,0.17,0.29,0,0,0.07,0.36,9
2023,338,0.8,0.16,0.22,0,0,0,0.38,10
2023,339,0.55,0.13,0.31,0,0,0,0.3,11
2023,340,0.52,0.09,0.31,0,0,0,0.29,12
2023,341,0.48,0.04,0.3,0,0,0,0.26,13
2023,342,0.44,0.04,0.2,0,0,0,0.22,14
2023,343,0.37,0.02,0.09,0,0,0,0.16,15
2023,344,0.35,0.01,0.04,0,0,0,0.14,16
2023,345,0.35,0.01,0.04,0,0,0,0.14,17
2023,346,0.34,0.01,0.01,0,0,0,0.13,18
2023,347,0.35,0.01,0.01,0,0,0,0.13,19
2023,348,0.82,0.09,0.06,0,0,0,0.33,20
2023,349,0.64,0.07,0.06,0,0,0,0.26,21
2023,350,0.5,0.06,0,0,0,0,0.2,22
2023,351,0.5,0.08,0,0,0,0,0.2,23
2023,352,0.49,0.12,0.01,0,0,0,0.21,24
2023,353,0.79,0.3,0.06,0,0,0,0.37,25
2023,354,0.76,0.39,0.06,0,0,0,0.38,26
2023,355,0.87,0.37,0.1,0,0,0,0.42,27
2023,356,1.89,1.07,1.07,0.04,0.55,0.21,1.23,28
2023,357,0.86,0.15,0.21,0,0.28,0,0.42,29
2023,358,0.74,0.09,0.17,0,0.25,0,0.35,30
2023,359,0.78,0.03,0.18,0,0.25,0,0.35,31
2023,360,0.58,0.01,0.05,0,0.04,0,0.23,32
2023,361,0.5,0.01,0.05,0,0.04,0,0.2,33
2023,362,0.47,0,0.02,0,0,0,0.18,34
2023,363,0.5,0,0.01,0,0,0,0.19,35
2023,364,0.46,0,0.01,0,0,0,0.17,36
2023,365,0.44,0,0.01,0,0,0,0.16,37
2024,1,0.91,0.05,0.03,0,0,0,0.35,38
2024,2,0.92,0.04,0.05,0,0,0,0.36,39
2024,3,0.84,0.01,0.05,0,0,0,0.32,40
2024,4,0.9,0.26,0.12,0,0.13,0,0.43,41
2024,5,1.09,0.21,1.03,0,0.13,0,0.7,42
2024,6,1.43,0.81,1.11,0,0.35,0,1,43
2024,7,1.38,1.1,1.36,0,0.85,0,1.14,44
2024,8,1.65,0.76,3.46,0,0.91,0,1.67,45
2024,9,1.36,0.53,2.03,0,0.91,0,1.17,46
2024,10,1.29,0.39,1.92,0,0.7,0,1.07,47
2024,11,1.27,0.71,2.37,0,0.49,0,1.23,48
2024,12,1.3,0.57,3.66,0,0.54,0,1.51,49
2024,13,1.83,2.32,4.72,0,0.54,0,2.36,50
2024,14,1.94,3.15,8.7,0.57,0.95,8.82,3.65,51
2024,15,3.04,3.95,5.36,5.94,0.93,70.16,4.18,52
2024,16,4.04,7.74,8.39,12.93,1.91,94.07,6.94,53
2024,17,4.75,8.33,13.32,16.19,1.72,94.37,8.8,54
2024,18,5.07,10.01,14.1,16.42,1.85,94.15,9.51,55
2024,19,6.59,13.62,17.61,22.31,2.88,93.72,12.34,56
2024,20,5.19,16.55,21.3,27,2.74,93.82,13.8,57
2024,21,6.02,18.28,19.19,26.14,4.79,96.1,14.07,58
2024,22,7.09,17.39,22.65,35.72,5.3,97.15,16.02,59
2024,23,5.52,12.5,18.68,26.42,2.44,97.15,12.32,60
2024,24,5.62,11.09,19.29,24.25,2.57,96.93,11.99,61
2024,25,4.35,10.84,16.86,21.04,2.01,93.76,10.53,62
2024,26,3.98,10.08,15.61,18.15,1.25,85.77,9.57,63
2024,27,4.2,10.19,15.4,23.86,1.4,91,10.19,64
2024,28,3.88,9.8,16.11,18.85,1.44,74.32,9.63,65
2024,29,3.38,9.61,13.36,11.44,1.36,54.78,7.97,66
2024,30,2.96,7.94,11.57,10.19,1.53,55.17,6.91,67
2024,31,2.77,7.51,11.11,10.74,1.45,46.49,6.65,68
2024,32,2.67,6.41,11.59,10.1,1.43,48.05,6.42,69
2024,33,3.37,5.93,10.46,8.07,1.43,47.96,6.11,70
2024,34,5.03,7.37,12.35,6.67,1.4,27.5,7.28,71
2024,35,4.71,9.41,13.52,5.84,1.98,28.55,7.87,72
2024,36,3.12,7.87,12.71,4.77,1.41,24.91,6.59,73
2024,37,2.8,8.15,13.78,3.48,1.41,20.75,6.66,74
2024,38,2.61,7.62,11.14,3.53,1.34,25.5,5.85,75
2024,39,2.31,5.37,9.97,3.82,1.39,22.9,4.98,76
2024,40,1.93,4.51,9.13,2.47,1.35,10.23,4.27,77
2024,41,1.79,2.6,6.69,0.68,1.19,0.54,2.99,78
2024,42,1.67,2.62,5.88,0.05,1.07,0,2.69,79
2024,43,2.27,2.68,6.04,0.08,0.84,0,2.94,80
2024,44,2.31,2.88,5.72,0,0.84,0,2.92,81
2024,45,2.67,2.72,9.97,0,0.84,0,4.03,82
2024,46,2.13,3.02,7.69,0,0.58,0,3.33,83
2024,47,2.16,2.98,8.16,0,0.91,0,3.47,84
2024,48,2.21,4.49,10.85,0,0.91,0.38,4.47,85
2024,49,2.64,5.33,12.11,0.41,0.91,24.61,5.25,86
2024,50,11.95,10.88,20.03,3.31,2.32,26.96,12.18,87
2024,51,4.19,10.09,18.93,0.39,1.2,15.2,8.5,88
2024,52,3.27,7.4,12.66,0.44,1.14,1.74,6.01,89
2024,53,3.7,8.81,11.36,0,0.72,1.22,6.1,90
2024,54,2.76,7.73,10.01,0,0.62,1.22,5.19,91
2024,55,3.77,9.71,15.95,0.11,0.59,1.22,7.43,92
2024,56,2.48,6.03,10.86,0,0.57,1.22,4.9,93
2024,57,2.02,5.11,9.97,0,0.45,0,4.3,94
2024,58,1.87,5.36,8.07,0,0.37,0,3.85,95
2024,59,1.74,3.61,7.84,0,0.36,0,3.35,96
2024,60,3.99,7.74,11.67,0,0.36,0,6.01,97
2024,61,5.09,6.56,12.11,0,0.36,0,6.25,98
2024,62,3.05,3.79,9.42,0,0.07,0,4.22,99
2024,63,2.39,3.01,7.99,0,0.04,0,3.46,100
2024,64,2.09,4.98,7.73,0,0.04,0,3.73,101
2024,65,1.85,2.83,5.76,0,0.04,0,2.69,102
2024,66,1.8,1.74,5.77,0,0,0,2.42,103
2024,67,1.55,1.82,5.14,0,0,0,2.2,104
2024,68,1.4,0.57,4.09,0,0,0,1.61,105
2024,69,1.49,0.44,3.68,0,0,0,1.52,106
2024,70,1.27,0.11,3.27,0,0,0,1.27,107
2024,71,1.26,0.11,3.04,0,0,0,1.21,108
2024,72,1.26,0.1,2.92,0,0,0,1.18,109
2024,73,1.25,0.09,2.91,0,0,0,1.17,110
2024,74,1.2,0.07,2.62,0,0,0,1.08,111
2024,75,1.21,0.04,2.36,0,0,0,1.01,112
2024,76,1.09,0.01,2.48,0,0,0,0.99,113
2024,77,0.96,0,1.16,0,0,0,0.63,114
2024,79,0.96,0,1.06,0,0,0,0.61,115
2024,80,0.97,0,0.86,0,0,0,0.56,116
2024,81,1.69,0,0.86,0,0,0,0.82,117
2024,82,2.29,0.07,1.35,0,0,0,1.17,118
2024,83,1.51,0,1.24,0,0,0,0.85,119
2024,84,2.19,0,1.45,0,0,0,1.15,120
2024,85,1.35,0,0.78,0,0,0,0.68,121
2024,86,1.13,0,0.55,0,0,0,0.54,122
2024,87,1.18,0,0.54,0,0,0,0.56,123
2024,88,1.4,0,0.42,0,0,0,0.61,124
2024,89,1.17,0,0.36,0,0,0,0.51,125
2024,90,1,0,0.36,0,0,0,0.45,126
2024,91,0.94,0,0.37,0,0,0,0.43,127
2024,92,0.91,0,0.31,0,0,0,0.4,128
2024,93,0.9,0,0.23,0,0,0,0.38,129
2024,94,0.97,0,0.02,0,0,0,0.36,130
2024,95,0.92,0,0.02,0,0,0,0.34,131
2024,96,0.82,0,0,0,0,0,0.3,132
2024,97,0.84,0,0,0,0,0,0.31,133
2024,98,0.85,0,0,0,0,0,0.31,134
2024,99,0.81,0,0,0,0,0,0.29,135
2024,100,0.75,0,0,0,0,0,0.28,136
2024,101,0.74,0,0,0,0,0,0.27,137
2024,102,0.75,0,0,0,0,0,0.28,138
2024,103,0.8,0,0,0,0,0,0.29,139
2024,104,0.5,0,0,0,0,0,0.18,140
2024,105,0.61,0,0,0,0,0,0.22,141
2024,106,0.66,0,0,0,0,0,0.24,142
2024,107,0.33,0,0,0,0,0,0.12,143
2024,108,0.12,0,0,0,0,0,0.04,144
2024,109,0.1,0,0,0,0,0,0.04,145
2024,110,0.12,0,0,0,0,0,0.04,146
2024,111,0.03,0,0,0,0,0,0.01,147
2024,112,0,0,0,0,0,0,0,148
2024,113,0,0,0,0,0,0,0,
2024,114,0,0,0,0,0,0,0,
2024,115,0,0,0,0,0,0,0,
2024,116,0,0,0,0,0,0,0,
